model,scenario,survival_rate_mean,survival_time_mean,gain_mean,efficiency_mean,equality_mean,over_usage_mean,survival_rate_std,survival_time_std,gain_std,efficiency_std,equality_std,over_usage_std,survival_rate_ci,survival_time_ci,gain_ci,efficiency_ci,equality_ci,over_usage_ci
DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,1.0,20.0,16.667,70.32,44.0,0.0,0.0,0.0,0.0,3.279,8.944,0.0,0.0,0.0,0.0,2.874,7.84
Meta-Llama-2-13B,fishing_v6.4_final,0.0,1.0,20.0,16.667,89.52,100.0,0.0,0.0,0.0,0.0,4.004,0.0,0.0,0.0,0.0,0.0,3.51,0.0
Meta-Llama-2-13B,pollution_v6.4_final,0.0,1.0,20.0,16.667,48.4,40.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,5.654,0.0
Meta-Llama-2-13B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.52,100.0,0.0,0.0,0.0,0.0,2.028,0.0,0.0,0.0,0.0,0.0,1.777,0.0
Meta-Llama-2-7B,fishing_v6.4_final,0.0,1.0,20.0,16.667,91.68,100.0,0.0,0.0,0.0,0.0,3.627,0.0,0.0,0.0,0.0,0.0,3.179,0.0
Meta-Llama-2-7B,pollution_v6.4_final,0.0,1.0,20.0,16.667,55.36,60.0,0.0,0.0,0.0,0.0,1.931,0.0,0.0,0.0,0.0,0.0,1.692,0.0
Meta-Llama-2-7B,sheep_v6.4_final,0.0,1.0,20.0,16.667,78.56,80.0,0.0,0.0,0.0,0.0,1.688,0.0,0.0,0.0,0.0,0.0,1.479,0.0
Meta-Llama-3-8B,fishing_v6.4_final,0.0,2.0,22.0,18.333,93.673,92.0,0.0,0.0,0.0,0.0,1.048,8.367,0.0,0.0,0.0,0.0,0.918,7.334
Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.0,20.0,16.667,56.16,60.0,0.0,0.0,0.0,0.0,2.523,0.0,0.0,0.0,0.0,0.0,2.212,0.0
Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,91.6,100.0,0.0,0.0,0.0,0.0,2.209,0.0,0.0,0.0,0.0,0.0,1.936,0.0
Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.0,20.0,16.667,59.28,56.0,0.0,0.0,0.0,0.0,12.72,21.909,0.0,0.0,0.0,0.0,11.149,19.204
Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,74.08,80.0,0.0,0.0,0.0,0.0,3.872,0.0,0.0,0.0,0.0,0.0,3.394,0.0
Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.84,100.0,0.0,0.0,0.0,0.0,4.075,0.0,0.0,0.0,0.0,0.0,3.572,0.0
Phi-4,fishing_v6.4_final,100.0,12.0,120.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-4,pollution_v6.4_final,0.0,2.0,22.0,18.333,67.927,58.0,0.0,0.0,0.0,0.0,0.398,4.472,0.0,0.0,0.0,0.0,0.349,3.92
Phi-4,sheep_v6.4_final,0.0,3.4,33.04,27.533,95.079,78.0,0.0,0.548,0.888,0.74,1.461,4.472,0.0,0.48,0.778,0.648,1.281,3.92
Qwen2.5-7B,fishing_v6.4_final,0.0,6.4,25.72,21.433,23.353,6.832,0.0,3.286,3.804,3.17,3.946,3.784,0.0,2.881,3.335,2.779,3.459,3.317
Qwen2.5-7B,pollution_v6.4_final,0.0,3.4,26.0,21.667,27.23,10.6,0.0,1.14,6.164,5.137,9.748,3.515,0.0,0.999,5.403,4.503,8.544,3.081
Qwen2.5-7B,sheep_v6.4_final,20.0,5.4,27.6,23.0,31.485,11.0,44.721,3.975,12.759,10.633,10.09,5.963,39.2,3.484,11.184,9.32,8.844,5.227
Systemic_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,5.0,52.04,43.367,83.875,40.2,0.0,4.062,37.461,31.218,9.483,18.079,0.0,3.561,32.836,27.364,8.312,15.847
Systemic_Meta-Llama-3-8B,fishing_v6.4_final,0.0,2.6,27.84,23.2,86.12,82.0,0.0,1.342,9.149,7.624,2.808,13.038,0.0,1.176,8.02,6.683,2.461,11.429
Systemic_Meta-Llama-3-8B,pollution_v6.4_final,0.0,2.6,27.52,22.933,81.239,58.667,0.0,0.548,3.318,2.765,4.568,14.453,0.0,0.48,2.909,2.424,4.004,12.669
Systemic_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.36,100.0,0.0,0.0,0.0,0.0,5.675,0.0,0.0,0.0,0.0,0.0,4.975,0.0
Systemic_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.4,21.12,17.6,67.716,58.0,0.0,0.548,1.927,1.606,1.423,4.472,0.0,0.48,1.689,1.407,1.247,3.92
Systemic_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,73.84,80.0,0.0,0.0,0.0,0.0,10.483,14.142,0.0,0.0,0.0,0.0,9.189,12.396
Systemic_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,90.64,100.0,0.0,0.0,0.0,0.0,3.378,0.0,0.0,0.0,0.0,0.0,2.961,0.0
Systemic_Phi-4,fishing_v6.4_final,20.0,5.0,46.8,39.0,93.942,52.667,44.721,4.0,29.515,24.596,4.235,28.737,39.2,3.506,25.871,21.559,3.712,25.189
Systemic_Phi-4,pollution_v6.4_final,40.0,5.6,34.24,28.533,80.168,39.333,54.772,5.857,17.56,14.634,8.692,28.397,48.01,5.134,15.392,12.827,7.618,24.891
Systemic_Phi-4,sheep_v6.4_final,40.0,7.8,74.88,62.4,98.252,48.0,54.772,3.834,41.189,34.325,1.767,43.909,48.01,3.361,36.104,30.087,1.549,38.488
Univ_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,40.0,8.8,86.4,72.0,85.932,5.411,54.772,4.324,37.747,31.456,15.875,4.325,48.01,3.79,33.087,27.572,13.915,3.791
Univ_Meta-Llama-2-7B,fishing_v6.4_final,0.0,1.0,20.0,16.667,84.0,80.0,0.0,0.0,0.0,0.0,7.772,14.142,0.0,0.0,0.0,0.0,6.812,12.396
Univ_Meta-Llama-2-7B,pollution_v6.4_final,0.0,1.0,20.0,16.667,85.68,84.0,0.0,0.0,0.0,0.0,3.192,8.944,0.0,0.0,0.0,0.0,2.798,7.84
Univ_Meta-Llama-2-7B,sheep_v6.4_final,0.0,1.2,20.4,17.0,60.327,48.0,0.0,0.447,0.894,0.745,7.067,10.954,0.0,0.392,0.784,0.653,6.195,9.602
Univ_Meta-Llama-3-8B,fishing_v6.4_final,100.0,12.0,68.96,57.467,89.707,10.333,0.0,0.0,15.341,12.784,6.477,6.811,0.0,0.0,13.447,11.206,5.677,5.97
Univ_Meta-Llama-3-8B,pollution_v6.4_final,20.0,7.0,36.84,30.7,70.006,8.552,44.721,2.915,5.268,4.39,13.979,9.592,39.2,2.556,4.617,3.848,12.253,8.408
Univ_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.6,24.84,20.7,65.047,24.0,0.0,1.342,10.823,9.019,11.64,8.944,0.0,1.176,9.486,7.905,10.203,7.84
Univ_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,5.0,45.4,37.833,67.9,29.352,0.0,3.536,21.677,18.064,12.747,9.094,0.0,3.099,19.0,15.834,11.174,7.972
Univ_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,54.72,48.0,0.0,0.0,0.0,0.0,8.146,10.954,0.0,0.0,0.0,0.0,7.14,9.602
Univ_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,75.92,76.0,0.0,0.0,0.0,0.0,15.324,16.733,0.0,0.0,0.0,0.0,13.432,14.667
Univ_Phi-4,fishing_v6.4_final,100.0,12.0,119.8,99.833,99.866,0.0,0.0,0.0,0.447,0.373,0.301,0.0,0.0,0.0,0.392,0.327,0.264,0.0
Univ_Phi-4,pollution_v6.4_final,100.0,12.0,91.84,76.533,95.046,4.0,0.0,0.0,9.291,7.743,3.029,3.249,0.0,0.0,8.144,6.787,2.655,2.848
Univ_Phi-4,sheep_v6.4_final,100.0,12.0,120.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Univ_alt_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,20.0,5.4,49.68,41.4,77.419,21.067,44.721,3.912,20.025,16.688,11.69,18.789,39.2,3.429,17.553,14.627,10.247,16.469
Univ_alt_Meta-Llama-3-8B,fishing_v6.4_final,20.0,5.0,42.12,35.1,86.145,49.667,44.721,3.937,13.922,11.601,7.487,27.295,39.2,3.451,12.203,10.169,6.563,23.925
Univ_alt_Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.0,20.0,16.667,85.2,96.0,0.0,0.0,0.0,0.0,14.784,8.944,0.0,0.0,0.0,0.0,12.959,7.84
Univ_alt_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,86.64,100.0,0.0,0.0,0.0,0.0,5.041,0.0,0.0,0.0,0.0,0.0,4.418,0.0
Univ_alt_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,20.0,4.2,35.76,29.8,70.813,36.8,44.721,4.658,24.978,20.815,13.315,15.531,39.2,4.083,21.894,18.245,11.671,13.613
Univ_alt_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,86.16,100.0,0.0,0.0,0.0,0.0,3.812,0.0,0.0,0.0,0.0,0.0,3.341,0.0
Univ_alt_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,74.96,76.0,0.0,0.0,0.0,0.0,3.618,8.944,0.0,0.0,0.0,0.0,3.171,7.84
Univ_alt_Phi-4,fishing_v6.4_final,80.0,11.0,98.84,82.367,98.931,12.81,44.721,2.236,30.094,25.078,1.531,20.034,39.2,1.96,26.379,21.982,1.342,17.561
Univ_alt_Phi-4,pollution_v6.4_final,40.0,7.4,45.52,37.933,89.623,29.267,54.772,4.45,13.468,11.223,6.513,21.869,48.01,3.9,11.805,9.838,5.709,19.169
Univ_alt_Phi-4,sheep_v6.4_final,60.0,8.4,75.08,62.567,94.409,27.333,54.772,4.93,44.005,36.671,5.012,33.677,48.01,4.321,38.572,32.143,4.393,29.52
VeilOfIgnorance_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,2.6,30.44,25.367,76.878,52.0,0.0,0.894,6.576,5.48,12.427,16.432,0.0,0.784,5.764,4.804,10.892,14.403
VeilOfIgnorance_Meta-Llama-3-8B,fishing_v6.4_final,0.0,1.0,20.0,16.667,90.64,100.0,0.0,0.0,0.0,0.0,4.026,0.0,0.0,0.0,0.0,0.0,3.529,0.0
VeilOfIgnorance_Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.2,20.8,17.333,72.267,78.0,0.0,0.447,1.789,1.491,4.485,4.472,0.0,0.392,1.568,1.307,3.931,3.92
VeilOfIgnorance_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.84,100.0,0.0,0.0,0.0,0.0,5.056,0.0,0.0,0.0,0.0,0.0,4.432,0.0
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.0,20.0,16.667,88.48,96.0,0.0,0.0,0.0,0.0,7.592,8.944,0.0,0.0,0.0,0.0,6.654,7.84
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,76.08,84.0,0.0,0.0,0.0,0.0,14.92,16.733,0.0,0.0,0.0,0.0,13.078,14.667
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,87.6,100.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,2.805,0.0
VeilOfIgnorance_Phi-4,fishing_v6.4_final,60.0,9.2,91.28,76.067,97.65,22.4,54.772,3.834,39.333,32.777,3.266,30.803,48.01,3.361,34.477,28.731,2.863,27.0
VeilOfIgnorance_Phi-4,pollution_v6.4_final,20.0,6.2,46.96,39.133,93.364,32.067,44.721,3.834,16.467,13.722,6.205,23.622,39.2,3.361,14.434,12.028,5.439,20.706
VeilOfIgnorance_Phi-4,sheep_v6.4_final,0.0,1.0,20.0,16.667,83.68,84.0,0.0,0.0,0.0,0.0,5.827,16.733,0.0,0.0,0.0,0.0,5.107,14.667
