env,experiment.env.inject_universalization,universalization_prompt,group_name,llm.path,experiment.env.inject_systemic,experiment.env.inject_veilofignorance,id,colour_0,colour_1,mean_survival_months,max_survival_months,display_name
fish_baseline_concurrent,False,False,DeepSeek-R1-Distill-Llama-8B,/gpfs/home2/overven/.cache/huggingface/hub/models--deepseek-ai--DeepSeek-R1-Distill-Llama-8B/snapshots/30e697b4062025b8537b49d529b5c0cedf12a660,,,fishing_v6.4_final/DeepSeek-R1-Distill-Llama-8B,"rgba(229, 22, 22, 1.0)","rgba(229, 22, 22, 0.2)",1.0,1,/gpfs/home2/overven/.cache/huggingface/hub/models--deepseek-ai--DeepSeek-R1-Distill-Llama-8B/snapshots/30e697b4062025b8537b49d529b5c0cedf12a660
fish_baseline_concurrent,False,False,DeepSeek-R1-Distill-Qwen-7B,/gpfs/home2/overven/.cache/huggingface/hub/models--deepseek-ai--DeepSeek-R1-Distill-Qwen-7B/snapshots/4e5485ed9bc7191a570b78c3bf4b9b252ca63793,,,fishing_v6.4_final/DeepSeek-R1-Distill-Qwen-7B,"rgba(229, 111, 22, 1.0)","rgba(229, 111, 22, 0.2)",1.0,1,/gpfs/home2/overven/.cache/huggingface/hub/models--deepseek-ai--DeepSeek-R1-Distill-Qwen-7B/snapshots/4e5485ed9bc7191a570b78c3bf4b9b252ca63793
fish_baseline_concurrent,False,False,Meta-Llama-2-13B,/gpfs/home2/overven/.cache/huggingface/hub/llama13B/models--meta-llama--Llama-2-13b-chat-hf/snapshots/a2cb7a712bb6e5e736ca7f8cd98167f81a0b5bd8,,,fishing_v6.4_final/Meta-Llama-2-13B,"rgba(229, 199, 22, 1.0)","rgba(229, 199, 22, 0.2)",1.0,1,/gpfs/home2/overven/.cache/huggingface/hub/llama13B/models--meta-llama--Llama-2-13b-chat-hf/snapshots/a2cb7a712bb6e5e736ca7f8cd98167f81a0b5bd8
fish_baseline_concurrent,False,False,Meta-Llama-2-7B,/gpfs/home2/overven/.cache/huggingface/hub/models--meta-llama--Llama-2-7b-chat-hf/snapshots/f5db02db724555f92da89c216ac04704f23d4590,,,fishing_v6.4_final/Meta-Llama-2-7B,"rgba(170, 229, 22, 1.0)","rgba(170, 229, 22, 0.2)",1.0,1,/gpfs/home2/overven/.cache/huggingface/hub/models--meta-llama--Llama-2-7b-chat-hf/snapshots/f5db02db724555f92da89c216ac04704f23d4590
fish_baseline_concurrent,False,False,Meta-Llama-3-8B,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a,,,fishing_v6.4_final/Meta-Llama-3-8B,"rgba(81, 229, 22, 1.0)","rgba(81, 229, 22, 0.2)",2.0,2,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a
fish_baseline_concurrent,False,False,Mistral-7B-Instruct-v0.2,/gpfs/home2/overven/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.2/snapshots/3ad372fc79158a2148299e3318516c786aeded6c,,,fishing_v6.4_final/Mistral-7B-Instruct-v0.2,"rgba(22, 229, 52, 1.0)","rgba(22, 229, 52, 0.2)",1.0,1,/gpfs/home2/overven/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.2/snapshots/3ad372fc79158a2148299e3318516c786aeded6c
fish_baseline_concurrent,False,False,Phi-4,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed,,,fishing_v6.4_final/Phi-4,"rgba(22, 229, 140, 1.0)","rgba(22, 229, 140, 0.2)",12.0,12,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed
fish_baseline_concurrent,False,False,Qwen2.5-7B,/gpfs/home2/overven/.cache/huggingface/hub/models--Qwen--Qwen2.5-Math-7B/snapshots/b101308fe89651ea5ce025f25317fea6fc07e96e,,,fishing_v6.4_final/Qwen2.5-7B,"rgba(22, 229, 229, 1.0)","rgba(22, 229, 229, 0.2)",6.4,10,/gpfs/home2/overven/.cache/huggingface/hub/models--Qwen--Qwen2.5-Math-7B/snapshots/b101308fe89651ea5ce025f25317fea6fc07e96e
fish_baseline_concurrent_systemic,False,False,Systemic_Meta-Llama-3-8B-Instruct,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a,True,,fishing_v6.4_final/Systemic_Meta-Llama-3-8B-Instruct,"rgba(22, 140, 229, 1.0)","rgba(22, 140, 229, 0.2)",2.6,5,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a
fish_baseline_concurrent_systemic,False,False,Systemic_Phi-4,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed,True,False,fishing_v6.4_final/Systemic_Phi-4,"rgba(22, 52, 229, 1.0)","rgba(22, 52, 229, 0.2)",6.666666666666667,12,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed
fish_baseline_concurrent_universalization,True,True,Univ_Meta-Llama-3-8B-Instruct,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a,,,fishing_v6.4_final/Univ_Meta-Llama-3-8B-Instruct,"rgba(81, 22, 229, 1.0)","rgba(81, 22, 229, 0.2)",12.0,12,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a
fish_baseline_concurrent_universalization,True,True,Univ_Mistral-7B-Instruct-v0.2,/gpfs/home2/overven/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.2/snapshots/3ad372fc79158a2148299e3318516c786aeded6c,,,fishing_v6.4_final/Univ_Mistral-7B-Instruct-v0.2,"rgba(170, 22, 229, 1.0)","rgba(170, 22, 229, 0.2)",5.0,11,/gpfs/home2/overven/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.2/snapshots/3ad372fc79158a2148299e3318516c786aeded6c
fish_baseline_concurrent_veilofignorance,False,False,VeilOfIgnorance_Meta-Llama-3-8B-Instruct,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a,False,True,fishing_v6.4_final/VeilOfIgnorance_Meta-Llama-3-8B-Instruct,"rgba(229, 22, 199, 1.0)","rgba(229, 22, 199, 0.2)",1.0,1,/gpfs/home2/overven/.cache/huggingface/hub/meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a
fish_baseline_concurrent_veilofignorance,False,False,VeilOfIgnorance_Phi-4,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed,False,True,fishing_v6.4_final/VeilOfIgnorance_Phi-4,"rgba(229, 22, 111, 1.0)","rgba(229, 22, 111, 0.2)",3.0,3,/gpfs/home2/overven/.cache/huggingface/hub/models--microsoft--phi-4/snapshots/f957856cd926f9d681b14153374d755dd97e45ed
